Airline IATA,Source airport IATA,Destination airport IATA,Distance
AA,PHL,MCO,1388.5554903516609
AA,PHL,MKE,1108.1397811183788
AA,PHL,MSP,1574.423331347321
AA,PHL,MSY,1750.8832636394734
AA,PHL,ORD,1088.3236698576663
AA,PHL,PDX,3862.5536924541652
AA,PHL,PHX,3332.8242496046537
AA,PHL,RDU,542.2505492934448
AA,PHL,SEA,3817.6538907073505
AA,PHL,SLC,3092.8145624354906
AA,PHL,STL,1306.00639355372
AA,PHX,ANC,4101.428608962121
AA,PHX,ATL,2549.081233958843
AA,PHX,BOI,1184.0866678040393
AA,PHX,BOS,3693.7754228607205
AA,PHX,BWI,3209.737057716284
AA,PHX,CLT,2848.382720575684
AA,PHX,DEN,968.5377565127925
AA,PHX,DFW,1393.8656724588768
AA,PHX,DTW,2683.9796496758554
AA,PHX,EWR,3425.3668935853048
AA,PHX,HNL,4688.528565864707
AA,PHX,IND,2390.864071114592
AA,PHX,JFK,3458.11906367387
AA,PHX,LAS,410.8486569165901
AA,PHX,LAX,594.3608778208186
AA,PHX,MCO,2969.687914351297
AA,PHX,MKE,2346.524863666096
AA,PHX,MSP,2051.7078346953285
AA,PHX,OMA,1667.5377576255903
AA,PHX,ORD,2313.4258893330652
AA,PHX,PDX,1625.0856639054705
AA,PHX,PHL,3332.8242496046537
AA,PHX,SEA,1781.8234816966544
AA,PHX,SLC,817.7440677116468
AA,PHX,STL,2026.8178951047003
AA,RDU,CLT,208.51191829077544
AA,RDU,DFW,1704.5189033287804
AA,RDU,JFK,686.50304121785
AA,RDU,LAX,3594.5314691820645
AA,RDU,ORD,1039.2145694438711
AA,RDU,PHL,542.2505492934448
AA,SEA,BOS,4005.5088356419633
AA,SEA,CLT,3660.405629332313
AA,SEA,DEN,1645.0658311574032
AA,SEA,DFW,2668.1529866142673
AA,SEA,EWR,3854.814176826073
AA,SEA,JFK,3886.6379044866676
AA,SEA,LAX,1536.9096838729733
AA,SEA,MCO,4104.686595514186
AA,SEA,ORD,2761.751624349704
AA,SEA,PHL,3817.6538907073505
AA,SEA,PHX,1781.8234816966544
AA,SEA,STL,2744.344982350002
AA,SLC,CLT,2773.5940144543915
AA,SLC,DFW,1589.4643663084744
AA,SLC,LAX,949.3163049513364
AA,SLC,ORD,2006.1548248592053
AA,SLC,PHL,3092.8145624354906
AA,SLC,PHX,817.7440677116468
AA,STL,CLT,924.3745727556258
AA,STL,DFW,885.3782369662816
AA,STL,LAX,2556.762811981745
AA,STL,ORD,415.4186613857083
AA,STL,PHL,1306.00639355372
AA,STL,PHX,2026.8178951047003
AA,STL,SEA,2744.344982350002
AC,ATL,DEN,1926.617829778416
AC,DEN,ATL,1926.617829778416
AC,DEN,MSY,1708.0852572911863
AC,EWR,MSY,1877.4286217865529
AC,IAD,MSY,1536.0363676547856
AC,MSY,DEN,1708.0852572911863
AC,MSY,EWR,1877.4286217865529
AC,MSY,IAD,1536.0363676547856
AC,MSY,ORD,1349.2498778486827
AC,ORD,MSY,1349.2498778486827
AF,ATL,BDL,1382.3194090292877
AF,ATL,BNA,344.43307950741485
AF,ATL,BOS,1521.5537657651762
AF,ATL,BWI,927.5307689689371
AF,ATL,CHS,416.0630081305395
AF,ATL,CLE,893.816089349385
AF,ATL,CLT,364.56708046970965
AF,ATL,CVG,602.1803007933797
AF,ATL,DEN,1926.617829778416
AF,ATL,DFW,1174.5318236036762
AF,ATL,DTW,958.1975913594932
AF,ATL,EWR,1199.3163539241518
AF,ATL,IAD,859.0311610793251
AF,ATL,IND,696.265301572822
AF,ATL,JFK,1222.0934389187264
AF,ATL,LAS,2804.8279085707227
AF,ATL,LAX,3125.776526360189
AF,ATL,MCO,650.7363446314486
AF,ATL,MKE,1078.353344778379
AF,ATL,MSP,1459.7181270186938
AF,ATL,MSY,683.5719060307282
AF,ATL,OKC,1221.645168739616
AF,ATL,OMA,1321.0472363918204
AF,ATL,ORD,976.3278291656198
AF,ATL,PDX,3489.1612400893227
AF,ATL,PHL,1071.592953109364
AF,ATL,PHX,2549.081233958843
AF,ATL,RDU,572.24839306195
AF,ATL,SEA,3504.977057741039
AF,ATL,SLC,2553.604187970751
AF,ATL,STL,779.0051856208638
AF,BDL,ATL,1382.3194090292877
AF,BNA,ATL,344.43307950741485
AF,BOS,ATL,1521.5537657651762
AF,BWI,ATL,927.5307689689371
AF,CHS,ATL,416.0630081305395
AF,CLE,ATL,893.816089349385
AF,CLT,ATL,364.56708046970965
AF,CVG,ATL,602.1803007933797
AF,DEN,ATL,1926.617829778416
AF,DFW,ATL,1174.5318236036762
AF,DTW,ATL,958.1975913594932
AF,DTW,MSY,1492.2718862170018
AF,EWR,ATL,1199.3163539241518
AF,HNL,LAX,4108.224323399248
AF,IAD,ATL,859.0311610793251
AF,IND,ATL,696.265301572822
AF,JFK,ATL,1222.0934389187264
AF,JFK,MSY,1901.4897105100436
AF,LAS,ATL,2804.8279085707227
AF,LAX,ATL,3125.776526360189
AF,LAX,MSP,2467.2941748789744
AF,MCO,ATL,650.7363446314486
AF,MKE,ATL,1078.353344778379
AF,MSP,ATL,1459.7181270186938
AF,MSP,LAX,2467.2941748789744
AF,MSP,MSY,1675.7693401753959
AF,MSP,SEA,2244.808454894288
AF,MSY,ATL,683.5719060307282
AF,MSY,DTW,1492.2718862170018
AF,MSY,JFK,1901.4897105100436
AF,MSY,MSP,1675.7693401753959
AF,OKC,ATL,1221.645168739616
AF,OMA,ATL,1321.0472363918204
AF,ORD,ATL,976.3278291656198
AF,PDX,ATL,3489.1612400893227
AF,PHL,ATL,1071.592953109364
AF,PHX,ATL,2549.081233958843
AF,RDU,ATL,572.24839306195
AF,SEA,ATL,3504.977057741039
AF,SEA,HNL,4307.910295959234
AF,SLC,ATL,2553.604187970751
AF,STL,ATL,779.0051856208638
AM,ATL,BDL,1382.3194090292877
